Algo | CS_ID | Year | Adds | Rems | Time_ms | Mem_Tree_MB | Mem_Delta_MB | DeltaData_MB
MVQ | 56536309 | 2018 | 0 | 0 | 0.000953674 | 48.041 | 0.0 | 0
MVQ | 56552423 | 2018 | 0 | 0 | 0 | 48.0411 | 0.0 | 0
MVQ | 56553936 | 2018 | 0 | 0 | 0.000953674 | 48.0411 | 0.0 | 0
MVQ | 56578761 | 2018 | 0 | 0 | 0 | 48.0412 | 0.0 | 0
MVQ | 56585418 | 2018 | 0 | 0 | 0.000953674 | 48.0412 | 0.0 | 0
MVQ | 56596370 | 2018 | 0 | 0 | 0 | 48.0413 | 0.0 | 0
MVQ | 56615829 | 2018 | 0 | 0 | 0.000953674 | 48.0413 | 0.0 | 0
MVQ | 56626992 | 2018 | 0 | 0 | 0 | 48.0414 | 0.0 | 0
MVQ | 56627757 | 2018 | 0 | 0 | 0.000953674 | 48.0414 | 0.0 | 0
MVQ | 56636801 | 2018 | 0 | 0 | 0 | 48.0415 | 0.0 | 0
MVQ | 56640831 | 2018 | 0 | 0 | 0.000953674 | 48.0415 | 0.0 | 0
MVQ | 56641480 | 2018 | 0 | 0 | 0 | 48.0415 | 0.0 | 0
MVQ | 56649635 | 2018 | 0 | 0 | 0.000953674 | 48.0416 | 0.0 | 0
MVQ | 56656214 | 2018 | 0 | 0 | 0.000953674 | 48.0416 | 0.0 | 0
MVQ | 56664878 | 2018 | 0 | 0 | 0 | 48.0417 | 0.0 | 0
MVQ | 56670435 | 2018 | 0 | 0 | 0.000953674 | 48.0417 | 0.0 | 0
MVQ | 56672982 | 2018 | 0 | 0 | 0.000953674 | 48.0418 | 0.0 | 0
MVQ | 56691903 | 2018 | 0 | 0 | 0 | 48.0418 | 0.0 | 0
MVQ | 56712186 | 2018 | 0 | 0 | 0.000953674 | 48.0419 | 0.0 | 0
MVQ | 56729550 | 2018 | 0 | 0 | 0 | 48.0419 | 0.0 | 0
MVQ | 56735854 | 2018 | 0 | 0 | 0.00286102 | 48.042 | 0.0 | 0
MVQ | 56751042 | 2018 | 0 | 0 | 0.000953674 | 48.042 | 0.0 | 0
MVQ | 56814229 | 2018 | 0 | 0 | 0 | 48.0421 | 0.0 | 0
MVQ | 56839124 | 2018 | 0 | 0 | 0 | 48.0421 | 0.0 | 0
MVQ | 56844683 | 2018 | 0 | 0 | 0 | 48.0421 | 0.0 | 0
MVQ | 56851297 | 2018 | 0 | 0 | 0 | 48.0422 | 0.0 | 0
MVQ | 56855396 | 2018 | 0 | 1 | 0.00500679 | 48.0437 | 0.0 | 3.05176e-05
MVQ | 56857992 | 2018 | 0 | 0 | 0 | 48.0437 | 0.0 | 0
MVQ | 56861144 | 2018 | 0 | 0 | 0.000953674 | 48.0438 | 0.0 | 0
MVQ | 56865192 | 2018 | 0 | 27 | 0.0481606 | 48.0567 | 0.0 | 0.000823975
MVQ | 56866664 | 2018 | 0 | 1 | 0.00596046 | 48.0591 | 0.0 | 3.05176e-05
MVQ | 56867358 | 2018 | 0 | 0 | 0.000953674 | 48.0591 | 0.0 | 0
MVQ | 56868487 | 2018 | 0 | 2 | 0.0138283 | 48.0621 | 0.0 | 6.10352e-05
MVQ | 56868669 | 2018 | 0 | 0 | 0.000953674 | 48.0622 | 0.0 | 0
MVQ | 56868708 | 2018 | 0 | 0 | 0.000953674 | 48.0622 | 0.0 | 0
MVQ | 56868744 | 2018 | 0 | 0 | 0 | 48.0623 | 0.0 | 0
MVQ | 56868789 | 2018 | 0 | 0 | 0.000953674 | 48.0623 | 0.0 | 0
MVQ | 56871065 | 2018 | 0 | 0 | 0.000953674 | 48.0623 | 0.0 | 0
MVQ | 56871359 | 2018 | 0 | 0 | 0 | 48.0624 | 0.0 | 0
MVQ | 56871464 | 2018 | 0 | 17 | 0.0100136 | 48.0656 | 0.0 | 0.000518799
MVQ | 56871554 | 2018 | 0 | 0 | 0 | 48.0656 | 0.0 | 0
MVQ | 56871579 | 2018 | 0 | 0 | 0 | 48.0657 | 0.0 | 0
MVQ | 56871605 | 2018 | 0 | 0 | 0.000953674 | 48.0657 | 0.0 | 0
MVQ | 56871869 | 2018 | 0 | 0 | 0 | 48.0658 | 0.0 | 0
MVQ | 56872251 | 2018 | 0 | 0 | 0.000953674 | 48.0658 | 0.0 | 0
MVQ | 56872337 | 2018 | 0 | 0 | 0 | 48.0659 | 0.0 | 0
MVQ | 56873167 | 2018 | 0 | 0 | 0.000953674 | 48.0659 | 0.0 | 0
MVQ | 56873306 | 2018 | 0 | 0 | 0 | 48.0659 | 0.0 | 0
MVQ | 56873426 | 2018 | 0 | 0 | 0.000953674 | 48.066 | 0.0 | 0
MVQ | 56873442 | 2018 | 0 | 0 | 0 | 48.066 | 0.0 | 0
MVQ | 56873563 | 2018 | 0 | 0 | 0 | 48.0661 | 0.0 | 0
MVQ | 56873839 | 2018 | 0 | 0 | 0.00119209 | 48.0661 | 0.0 | 0
MVQ | 56874040 | 2018 | 0 | 0 | 0 | 48.0662 | 0.0 | 0
MVQ | 56874241 | 2018 | 0 | 0 | 0.00119209 | 48.0662 | 0.0 | 0
MVQ | 56874531 | 2018 | 0 | 0 | 0.000953674 | 48.0663 | 0.0 | 0
MVQ | 56874583 | 2018 | 0 | 0 | 0 | 48.0663 | 0.0 | 0
MVQ | 56877319 | 2018 | 0 | 0 | 0.000953674 | 48.0664 | 0.0 | 0
MVQ | 56877333 | 2018 | 0 | 0 | 0 | 48.0664 | 0.0 | 0
MVQ | 56877435 | 2018 | 0 | 0 | 0 | 48.0665 | 0.0 | 0
MVQ | 56877536 | 2018 | 0 | 0 | 0.00119209 | 48.0665 | 0.0 | 0
MVQ | 56877581 | 2018 | 0 | 0 | 0.000953674 | 48.0665 | 0.0 | 0
MVQ | 56877763 | 2018 | 0 | 0 | 0 | 48.0666 | 0.0 | 0
MVQ | 56878073 | 2018 | 0 | 0 | 0 | 48.0666 | 0.0 | 0
MVQ | 56895264 | 2018 | 0 | 0 | 0 | 48.0667 | 0.0 | 0
MVQ | 56898706 | 2018 | 0 | 0 | 0.000953674 | 48.0667 | 0.0 | 0
MVQ | 56905025 | 2018 | 0 | 0 | 0 | 48.0668 | 0.0 | 0
MVQ | 56906003 | 2018 | 0 | 0 | 0.000953674 | 48.0668 | 0.0 | 0
MVQ | 56906138 | 2018 | 0 | 0 | 0 | 48.0669 | 0.0 | 0
MVQ | 56906232 | 2018 | 0 | 0 | 0.000953674 | 48.0669 | 0.0 | 0
MVQ | 56906245 | 2018 | 0 | 0 | 0 | 48.067 | 0.0 | 0
MVQ | 56906347 | 2018 | 0 | 0 | 0 | 48.067 | 0.0 | 0
MVQ | 56906475 | 2018 | 0 | 0 | 0.000953674 | 48.067 | 0.0 | 0
MVQ | 56906642 | 2018 | 0 | 0 | 0 | 48.0671 | 0.0 | 0
MVQ | 56906731 | 2018 | 0 | 0 | 0.000953674 | 48.0671 | 0.0 | 0
MVQ | 56906744 | 2018 | 0 | 0 | 0 | 48.0672 | 0.0 | 0
MVQ | 56911082 | 2018 | 0 | 0 | 0.000953674 | 48.0672 | 0.0 | 0
MVQ | 56914137 | 2018 | 0 | 0 | 0 | 48.0673 | 0.0 | 0
MVQ | 56914552 | 2018 | 0 | 0 | 0 | 48.0673 | 0.0 | 0
MVQ | 56922256 | 2018 | 0 | 0 | 0.000953674 | 48.0674 | 0.0 | 0
MVQ | 56930594 | 2018 | 0 | 0 | 0.00190735 | 48.0674 | 0.0 | 0
MVQ | 56936585 | 2018 | 0 | 0 | 0.000953674 | 48.0675 | 0.0 | 0
MVQ | 56945223 | 2018 | 0 | 0 | 0.000953674 | 48.0675 | 0.0 | 0
MVQ | 56952325 | 2018 | 0 | 0 | 0.000953674 | 48.0676 | 0.0 | 0
MVQ | 56952602 | 2018 | 0 | 0 | 0.00309944 | 48.0676 | 0.0 | 0
MVQ | 56954396 | 2018 | 0 | 0 | 0.000953674 | 48.0676 | 0.0 | 0
MVQ | 56960786 | 2018 | 0 | 0 | 0 | 48.0677 | 0.0 | 0
MVQ | 56961728 | 2018 | 0 | 0 | 0 | 48.0677 | 0.0 | 0
MVQ | 56962544 | 2018 | 0 | 0 | 0 | 48.0678 | 0.0 | 0
MVQ | 56962564 | 2018 | 0 | 0 | 0 | 48.0678 | 0.0 | 0
MVQ | 56962640 | 2018 | 0 | 0 | 0.000953674 | 48.0679 | 0.0 | 0
MVQ | 56962667 | 2018 | 0 | 0 | 0.00119209 | 48.0679 | 0.0 | 0
MVQ | 56962731 | 2018 | 0 | 5 | 0.0109673 | 48.0704 | 0.0 | 0.000152588
MVQ | 56964348 | 2018 | 0 | 0 | 0.000953674 | 48.0704 | 0.0 | 0
MVQ | 56965358 | 2018 | 0 | 0 | 0.00119209 | 48.0704 | 0.0 | 0
MVQ | 56969455 | 2018 | 0 | 0 | 0.000953674 | 48.0705 | 0.0 | 0
MVQ | 56974517 | 2018 | 0 | 1 | 0.00786781 | 48.0733 | 0.0 | 3.05176e-05
MVQ | 56980740 | 2018 | 0 | 0 | 0.000953674 | 48.0733 | 0.0 | 0
MVQ | 56981112 | 2018 | 0 | 0 | 0.00309944 | 48.0734 | 0.0 | 0
MVQ | 56982437 | 2018 | 0 | 0 | 0.000953674 | 48.0734 | 0.0 | 0
